task,"('google/gemma-3-270m-it', 'Base')","('google/gemma-3-270m-it', 'Best Skip Layer')","('google/gemma-3-270m-it', 'Performance')","('google/gemma-3-270m-it', 'Candidate Count')","('google/gemma-3-1b-it', 'Base')","('google/gemma-3-1b-it', 'Best Skip Layer')","('google/gemma-3-1b-it', 'Performance')","('google/gemma-3-1b-it', 'Candidate Count')","('meta-llama/Llama-3.2-1B-Instruct', 'Base')","('meta-llama/Llama-3.2-1B-Instruct', 'Best Skip Layer')","('meta-llama/Llama-3.2-1B-Instruct', 'Performance')","('meta-llama/Llama-3.2-1B-Instruct', 'Candidate Count')","('meta-llama/Llama-3.2-3B-Instruct', 'Base')","('meta-llama/Llama-3.2-3B-Instruct', 'Best Skip Layer')","('meta-llama/Llama-3.2-3B-Instruct', 'Performance')","('meta-llama/Llama-3.2-3B-Instruct', 'Candidate Count')","('Qwen/Qwen3-1.7B', 'Base')","('Qwen/Qwen3-1.7B', 'Best Skip Layer')","('Qwen/Qwen3-1.7B', 'Performance')","('Qwen/Qwen3-1.7B', 'Candidate Count')","('Qwen/Qwen3-4B', 'Base')","('Qwen/Qwen3-4B', 'Best Skip Layer')","('Qwen/Qwen3-4B', 'Performance')","('Qwen/Qwen3-4B', 'Candidate Count')","('Qwen/Qwen3-8B', 'Base')","('Qwen/Qwen3-8B', 'Best Skip Layer')","('Qwen/Qwen3-8B', 'Performance')","('Qwen/Qwen3-8B', 'Candidate Count')","('allenai/OLMo-2-0425-1B-Instruct', 'Base')","('allenai/OLMo-2-0425-1B-Instruct', 'Best Skip Layer')","('allenai/OLMo-2-0425-1B-Instruct', 'Performance')","('allenai/OLMo-2-0425-1B-Instruct', 'Candidate Count')","('allenai/OLMo-2-1124-7B-Instruct', 'Base')","('allenai/OLMo-2-1124-7B-Instruct', 'Best Skip Layer')","('allenai/OLMo-2-1124-7B-Instruct', 'Performance')","('allenai/OLMo-2-1124-7B-Instruct', 'Candidate Count')"
global_mmlu_full_en_miscellaneous,29.12%,17,+1.15%,1,53.00%,25,0.00%,0,65.77%,15,-1.02%,0,77.78%,18,+0.64%,3,67.69%,25,+0.89%,4,79.44%,26,+1.02%,7,84.16%,28,+1.02%,4,52.75%,15,+1.92%,4,78.42%,19,+0.38%,2
global_mmlu_full_en_nutrition,26.80%,14,+3.92%,7,44.44%,22,+2.29%,8,55.88%,15,-1.63%,0,67.32%,20,+1.96%,4,62.42%,18,+2.94%,5,73.86%,30,+0.98%,3,77.78%,19,+1.96%,8,44.44%,15,+1.96%,3,71.24%,22,+2.61%,9
global_mmlu_full_en_professional_accounting,22.70%,3,+6.74%,15,30.50%,16,+1.06%,1,36.52%,15,-1.06%,0,43.97%,24,+4.26%,9,46.10%,17,+0.71%,3,52.13%,31,+2.48%,12,59.22%,26,+1.42%,3,34.04%,12,0.00%,0,40.78%,22,+1.42%,6
global_mmlu_full_en_professional_medicine,19.49%,11,+22.79%,6,30.51%,13,+10.66%,5,58.09%,15,+1.47%,2,76.47%,26,+2.57%,2,52.57%,18,+9.19%,8,72.79%,19,+2.94%,6,80.51%,22,+2.21%,13,31.62%,15,+3.68%,3,58.82%,25,+0.37%,2
global_mmlu_full_en_virology,29.52%,12,+4.22%,4,42.17%,24,+3.01%,3,46.99%,11,-1.20%,0,51.20%,19,+1.81%,2,50.60%,10,0.00%,0,50.00%,1,+1.81%,4,54.82%,15,+0.60%,3,42.17%,14,+0.60%,1,50.00%,23,+1.81%,9
global_mmlu_full_en_econometrics,26.32%,13,+3.51%,3,20.18%,0,+6.14%,14,26.32%,1,+4.39%,7,40.35%,24,+5.26%,7,45.61%,18,+2.63%,4,57.02%,2,+4.39%,8,64.91%,15,+1.75%,4,21.05%,9,+8.77%,16,33.33%,19,+4.39%,12
global_mmlu_full_en_high_school_geography,26.77%,11,+5.56%,5,57.07%,22,0.00%,0,57.07%,15,-0.51%,0,74.24%,18,+1.52%,3,70.71%,23,+2.02%,5,82.83%,25,+2.02%,11,87.37%,28,+0.51%,1,44.95%,12,+5.56%,3,75.76%,15,+1.52%,2
global_mmlu_full_en_high_school_government_and_politics,23.32%,11,+10.36%,4,54.40%,21,+1.55%,5,57.51%,15,-0.52%,0,77.20%,22,+3.63%,6,70.98%,22,+0.52%,1,85.49%,31,+1.04%,3,92.23%,21,+0.52%,4,55.44%,12,+5.18%,2,83.94%,16,+2.59%,7
global_mmlu_full_en_high_school_macroeconomics,23.08%,11,+12.05%,6,38.21%,19,+2.05%,6,42.82%,14,+0.77%,1,56.67%,20,+2.56%,5,55.64%,18,+2.31%,5,72.05%,21,+0.77%,5,78.97%,22,+1.03%,6,37.44%,12,+2.05%,3,59.49%,24,+1.54%,4
global_mmlu_full_en_high_school_microeconomics,21.85%,11,+13.03%,8,44.54%,22,+1.26%,2,43.28%,15,+5.46%,2,62.61%,19,+2.10%,4,67.65%,18,+0.42%,2,80.67%,26,+0.84%,5,89.92%,25,+1.68%,7,37.82%,12,+2.52%,1,64.71%,20,+2.10%,10
global_mmlu_full_en_high_school_psychology,26.42%,13,+2.39%,4,53.94%,21,+1.83%,5,62.20%,15,+2.02%,1,77.61%,24,+1.47%,5,77.25%,18,+1.10%,4,85.14%,21,+0.55%,3,90.09%,21,+1.28%,5,53.76%,12,+3.30%,2,79.63%,15,0.00%,0
global_mmlu_full_en_human_sexuality,25.95%,14,+4.58%,6,48.85%,22,+2.29%,1,57.25%,15,-1.53%,0,70.23%,19,+3.05%,3,67.18%,18,+2.29%,3,74.05%,24,+3.82%,6,82.44%,32,+1.53%,1,52.67%,14,+2.29%,2,73.28%,20,+1.53%,5
global_mmlu_full_en_professional_psychology,25.98%,8,+1.96%,4,35.62%,17,+1.63%,6,42.81%,11,-1.31%,0,58.66%,16,+1.31%,4,56.21%,24,+0.16%,1,71.90%,26,+0.82%,4,74.51%,22,+0.33%,3,38.56%,12,+2.12%,3,60.95%,22,+0.33%,1
global_mmlu_full_en_public_relations,31.82%,14,+1.82%,2,48.18%,19,+3.64%,3,50.91%,15,0.00%,0,60.00%,18,+1.82%,5,58.18%,20,+1.82%,6,64.55%,8,+2.73%,4,67.27%,11,+1.82%,3,49.09%,11,+2.73%,2,61.82%,24,0.00%,0
global_mmlu_full_en_security_studies,19.59%,11,+17.55%,10,53.47%,20,+2.04%,6,54.29%,15,-1.22%,0,68.57%,24,-0.82%,0,64.08%,25,+2.04%,2,74.29%,35,+1.22%,1,76.33%,32,+1.63%,7,49.39%,12,+3.67%,4,66.12%,19,+2.04%,5
global_mmlu_full_en_sociology,24.88%,11,+3.98%,6,56.72%,19,+2.49%,3,63.18%,15,+1.00%,1,78.11%,19,+1.49%,5,68.66%,26,+2.49%,7,80.60%,2,+0.50%,5,83.58%,30,+1.49%,11,60.20%,11,+1.00%,3,83.08%,21,+0.50%,1
global_mmlu_full_en_us_foreign_policy,26.00%,17,+11.00%,14,57.00%,19,+4.00%,2,75.00%,11,-1.00%,0,82.00%,12,+1.00%,3,76.00%,24,+3.00%,4,85.00%,28,+2.00%,4,88.00%,19,+1.00%,1,57.00%,15,+3.00%,3,85.00%,22,+1.00%,5
global_mmlu_full_en_abstract_algebra,23.00%,8,+7.00%,7,26.00%,10,+4.00%,7,33.00%,0,+2.00%,1,30.00%,4,+8.00%,16,38.00%,9,+4.00%,5,54.00%,28,+3.00%,4,58.00%,2,+1.00%,1,25.00%,11,+7.00%,10,33.00%,15,+3.00%,11
global_mmlu_full_en_anatomy,25.19%,9,+7.41%,5,39.26%,18,+3.70%,4,50.37%,11,0.00%,0,61.48%,18,+4.44%,1,54.81%,25,+2.22%,2,60.74%,19,+6.67%,7,72.59%,33,0.00%,0,40.00%,13,+2.96%,2,58.52%,15,+2.22%,5
global_mmlu_full_en_astronomy,23.68%,8,+9.87%,6,39.47%,20,+5.26%,7,53.95%,15,0.00%,0,68.42%,17,+0.66%,1,71.05%,18,+1.97%,4,76.97%,25,+1.97%,11,89.47%,28,+0.66%,1,38.82%,12,+4.61%,3,67.11%,26,+1.32%,4
global_mmlu_full_en_college_biology,22.92%,4,+7.64%,12,39.58%,15,+3.47%,8,50.69%,15,-1.39%,0,72.22%,23,+1.39%,3,68.06%,22,+0.69%,1,84.03%,33,+0.69%,1,87.50%,26,+1.39%,4,45.14%,15,+2.08%,1,72.22%,20,+2.08%,9
global_mmlu_full_en_college_chemistry,21.00%,4,+17.00%,6,37.00%,23,+1.00%,1,30.00%,15,+12.00%,5,39.00%,7,+6.00%,8,42.00%,20,+3.00%,5,57.00%,25,+1.00%,3,57.00%,2,+3.00%,3,33.00%,12,+4.00%,1,42.00%,28,+6.00%,11
global_mmlu_full_en_college_computer_science,18.00%,8,+15.00%,15,34.00%,2,+8.00%,7,34.00%,15,+4.00%,2,47.00%,19,+3.00%,1,54.00%,18,+6.00%,6,66.00%,2,+5.00%,9,72.00%,24,+5.00%,11,31.00%,14,+3.00%,2,47.00%,21,+5.00%,13
global_mmlu_full_en_college_mathematics,19.00%,9,+9.00%,16,29.00%,19,+2.00%,3,35.00%,2,-1.00%,0,29.00%,20,+9.00%,13,39.00%,25,+5.00%,8,47.00%,19,+7.00%,15,57.00%,28,+3.00%,5,35.00%,12,-3.00%,0,40.00%,13,+4.00%,6
global_mmlu_full_en_college_physics,23.53%,1,+11.76%,5,22.55%,5,+5.88%,10,24.51%,13,+7.84%,5,38.24%,21,+3.92%,3,38.24%,14,+13.73%,6,56.86%,32,+0.98%,1,55.88%,7,+3.92%,7,21.57%,2,+8.82%,9,39.22%,25,+4.90%,9
global_mmlu_full_en_computer_security,25.00%,8,+7.00%,12,39.00%,15,+4.00%,7,57.00%,15,-3.00%,0,67.00%,27,+4.00%,4,71.00%,17,+1.00%,5,75.00%,31,+6.00%,22,86.00%,20,+2.00%,9,45.00%,15,+5.00%,3,73.00%,22,+1.00%,3
global_mmlu_full_en_conceptual_physics,26.38%,16,+6.81%,6,31.91%,15,+2.98%,6,44.68%,15,-1.28%,0,49.36%,18,+2.13%,9,62.98%,25,-0.85%,0,76.60%,28,+1.28%,4,81.28%,35,+1.70%,12,37.02%,6,+0.85%,2,56.60%,16,+1.70%,3
global_mmlu_full_en_electrical_engineering,28.28%,11,+4.83%,3,45.52%,20,+4.83%,6,53.10%,15,-1.38%,0,60.00%,22,+0.69%,1,55.86%,20,+1.38%,1,71.03%,2,+1.38%,4,75.86%,27,+0.69%,1,41.38%,11,+6.90%,5,49.66%,12,+6.21%,9
global_mmlu_full_en_elementary_mathematics,24.07%,11,+4.76%,10,23.54%,22,+5.29%,14,33.07%,15,-0.79%,0,39.15%,20,+2.65%,7,53.97%,26,+2.91%,4,66.14%,27,+0.79%,2,70.11%,27,+1.85%,9,30.69%,14,-1.32%,0,38.62%,28,+2.38%,8
global_mmlu_full_en_high_school_biology,25.16%,11,+7.42%,6,45.81%,22,+0.97%,4,52.26%,11,+1.94%,2,71.29%,20,+1.29%,3,66.77%,26,+4.19%,4,85.48%,26,+0.97%,3,89.68%,3,+0.97%,4,44.52%,12,+5.81%,3,73.23%,22,+1.29%,5
global_mmlu_full_en_high_school_chemistry,24.63%,8,+4.93%,7,29.06%,21,+2.96%,4,41.38%,15,+1.97%,1,54.68%,18,+3.45%,7,51.23%,24,+1.97%,9,66.01%,2,+1.97%,9,71.92%,28,+2.96%,9,24.63%,4,+6.40%,11,43.84%,7,+4.43%,7
global_mmlu_full_en_high_school_computer_science,22.00%,17,+14.00%,13,39.00%,20,+1.00%,2,42.00%,15,+2.00%,1,63.00%,20,+6.00%,5,64.00%,26,+7.00%,7,83.00%,21,+1.00%,3,88.00%,2,+1.00%,2,36.00%,11,+3.00%,3,65.00%,25,+3.00%,3
global_mmlu_full_en_high_school_mathematics,24.07%,11,+7.04%,10,23.70%,11,+2.96%,2,34.07%,13,-0.74%,0,35.56%,24,+4.81%,7,38.52%,26,+4.44%,5,46.30%,22,+2.22%,7,50.00%,26,+3.70%,4,28.89%,8,+1.11%,3,31.48%,10,+3.70%,7
global_mmlu_full_en_high_school_physics,20.53%,11,+13.25%,12,25.83%,2,+1.32%,1,25.83%,10,+3.97%,6,34.44%,24,+6.62%,14,47.68%,18,+3.31%,2,57.62%,26,+4.64%,12,70.86%,2,+1.99%,1,22.52%,2,+9.27%,11,39.07%,23,0.00%,0
global_mmlu_full_en_high_school_statistics,14.35%,11,+27.31%,16,20.37%,2,+8.33%,10,34.72%,13,+5.56%,4,47.22%,18,+3.24%,6,52.31%,18,+7.87%,8,69.91%,26,+2.31%,7,76.39%,30,+0.93%,1,27.78%,8,+4.17%,5,47.69%,22,+3.70%,9
global_mmlu_full_en_machine_learning,28.57%,13,+8.93%,6,31.25%,15,+2.68%,9,28.57%,11,+10.71%,11,46.43%,19,+7.14%,4,41.07%,22,+2.68%,8,56.25%,25,+4.46%,3,60.71%,21,+2.68%,4,34.82%,11,+1.79%,4,37.50%,9,+10.71%,16
global_mmlu_full_fr_formal_logic,16.67%,1,+15.08%,15,32.54%,22,+3.97%,4,29.37%,13,0.00%,0,27.78%,26,+7.14%,12,32.54%,18,+11.11%,15,51.59%,7,+5.56%,6,54.76%,24,+3.17%,9,30.95%,8,+3.17%,1,27.78%,14,+4.76%,10
global_mmlu_full_fr_high_school_european_history,27.88%,8,+3.64%,6,47.27%,18,+2.42%,3,53.33%,11,-1.21%,0,72.12%,21,+0.61%,1,64.24%,17,+0.61%,2,78.18%,26,+0.61%,1,78.18%,29,+1.21%,5,43.64%,14,+1.82%,1,63.64%,24,+2.42%,6
global_mmlu_full_fr_high_school_us_history,22.55%,11,+6.37%,18,34.31%,15,+8.82%,8,44.61%,14,+1.47%,1,70.10%,22,+0.98%,4,54.41%,16,+0.98%,3,72.06%,27,+1.47%,3,76.47%,25,+1.47%,8,33.82%,14,+0.98%,2,57.35%,19,+4.41%,7
global_mmlu_full_fr_high_school_world_history,24.89%,2,+6.33%,14,35.02%,15,+8.86%,7,51.90%,14,+2.53%,1,72.15%,21,+1.27%,7,64.14%,20,+2.53%,5,78.90%,19,+2.11%,7,81.43%,20,+1.27%,2,42.19%,14,+3.80%,2,64.14%,24,+0.84%,2
global_mmlu_full_fr_international_law,25.62%,9,+14.88%,6,46.28%,18,+6.61%,5,53.72%,15,-1.65%,0,64.46%,21,+3.31%,5,66.12%,23,+1.65%,2,67.77%,2,+4.13%,8,71.07%,10,+4.96%,12,35.54%,12,+2.48%,2,57.02%,4,+4.13%,14
global_mmlu_full_fr_jurisprudence,27.78%,16,+4.63%,6,41.67%,19,+3.70%,2,46.30%,15,+1.85%,1,60.19%,19,+2.78%,2,50.00%,18,+2.78%,5,63.89%,35,+3.70%,5,71.30%,2,+2.78%,5,39.81%,13,+4.63%,2,56.48%,31,+4.63%,9
global_mmlu_full_fr_logical_fallacies,33.74%,17,-0.61%,0,33.74%,20,+6.13%,7,33.74%,11,+2.45%,3,58.28%,21,+1.23%,3,55.83%,26,+3.68%,3,61.96%,19,+3.07%,6,69.94%,30,+1.84%,8,38.04%,12,0.00%,0,37.42%,8,+3.07%,15
global_mmlu_full_fr_moral_disputes,29.19%,9,+1.73%,5,39.60%,18,+2.02%,2,41.62%,14,+2.89%,2,58.67%,19,+0.29%,1,52.60%,23,+0.58%,1,60.69%,25,+1.45%,5,67.05%,25,+2.60%,5,37.86%,15,0.00%,0,49.71%,24,+3.47%,11
global_mmlu_full_fr_moral_scenarios,25.03%,11,+2.23%,5,24.25%,7,+4.13%,10,27.49%,0,+0.11%,1,38.66%,24,+3.13%,4,25.59%,17,+4.36%,9,36.20%,22,+2.68%,9,44.58%,27,+0.67%,4,24.13%,1,+2.01%,14,24.36%,16,+3.46%,18
global_mmlu_full_fr_philosophy,30.55%,9,+3.86%,4,36.98%,25,+0.96%,3,45.98%,15,+0.96%,2,58.20%,16,+1.93%,4,53.70%,25,+1.29%,3,63.67%,25,+3.22%,4,69.77%,28,+1.61%,6,34.73%,12,+3.54%,4,53.38%,24,+1.29%,8
global_mmlu_full_fr_prehistory,24.69%,17,+4.01%,7,40.12%,19,+1.54%,2,50.00%,15,-0.93%,0,57.72%,17,+0.93%,4,55.56%,27,+0.93%,1,63.27%,31,+1.54%,4,70.37%,31,+1.54%,5,37.65%,11,-0.31%,0,52.78%,25,+3.09%,3
global_mmlu_full_fr_professional_law,24.51%,8,+1.76%,9,28.42%,24,+1.30%,7,31.81%,15,-0.85%,0,37.03%,20,+0.72%,3,36.38%,27,+0.26%,2,42.11%,25,0.00%,0,44.20%,27,+1.69%,7,30.18%,14,+0.52%,1,34.62%,25,+0.91%,7
global_mmlu_full_fr_world_religions,27.49%,4,+9.94%,11,36.84%,17,+6.43%,8,55.56%,14,-1.75%,0,71.35%,22,+1.17%,4,61.99%,23,+0.58%,2,71.93%,17,+1.75%,8,81.29%,19,+0.58%,1,38.60%,15,+5.26%,3,55.56%,25,+1.75%,3
global_mmlu_full_fr_business_ethics,31.00%,2,+2.00%,1,33.00%,17,+9.00%,8,44.00%,14,+4.00%,2,53.00%,23,+6.00%,9,47.00%,20,+8.00%,13,65.00%,27,+1.00%,3,66.00%,11,+2.00%,8,44.00%,11,-3.00%,0,46.00%,4,+3.00%,1
global_mmlu_full_fr_clinical_knowledge,25.66%,11,+3.40%,2,44.53%,19,+0.38%,1,37.74%,14,+4.53%,3,56.60%,21,+1.13%,2,54.34%,16,+1.13%,3,66.04%,28,+2.64%,7,71.32%,35,+2.64%,10,32.83%,11,+1.13%,2,49.06%,19,+1.51%,6
global_mmlu_full_fr_college_medicine,16.76%,11,+16.18%,18,35.84%,15,+1.73%,5,30.64%,13,+2.31%,3,52.02%,16,0.00%,0,52.02%,25,+6.36%,5,68.21%,28,+3.47%,7,69.94%,30,+2.89%,7,32.37%,15,+2.31%,1,38.73%,14,+2.89%,9
global_mmlu_full_fr_global_facts,23.00%,3,+11.00%,7,34.00%,21,+3.00%,4,27.00%,8,+11.00%,11,31.00%,9,+9.00%,16,41.00%,23,-3.00%,0,24.00%,30,+8.00%,22,39.00%,28,+3.00%,12,29.00%,4,+5.00%,6,30.00%,1,+5.00%,12
global_mmlu_full_fr_human_aging,27.35%,12,+8.07%,9,37.67%,17,+4.48%,3,47.09%,14,+2.24%,1,53.81%,19,+1.79%,3,56.05%,27,+0.90%,1,62.78%,28,+1.79%,4,65.02%,28,+1.35%,5,45.29%,11,+3.59%,2,53.36%,21,+0.90%,5
global_mmlu_full_fr_management,22.33%,11,+7.77%,6,60.19%,23,0.00%,0,47.57%,14,+1.94%,2,62.14%,8,+6.80%,10,52.43%,26,+3.88%,4,68.93%,35,+6.80%,8,77.67%,2,+1.94%,9,32.04%,12,+1.94%,2,59.22%,21,+4.85%,8
global_mmlu_full_fr_marketing,28.63%,10,+1.28%,2,53.85%,15,+2.99%,7,53.85%,15,+0.43%,1,71.79%,21,+2.56%,4,70.94%,20,+1.71%,5,80.34%,26,+1.71%,4,82.48%,25,+0.85%,4,43.59%,12,0.00%,0,64.53%,24,+1.28%,6
global_mmlu_full_fr_medical_genetics,26.00%,2,+6.00%,8,37.00%,24,+6.00%,4,48.00%,14,-2.00%,0,57.00%,12,+6.00%,8,53.00%,24,+4.00%,8,64.00%,22,0.00%,0,72.00%,27,+1.00%,2,38.00%,14,0.00%,0,53.00%,25,+2.00%,3
global_mmlu_full_fr_miscellaneous,29.25%,16,+0.64%,1,45.34%,15,+1.02%,4,51.09%,11,+0.13%,1,66.67%,18,+0.89%,7,58.62%,26,+0.89%,1,70.50%,25,+0.89%,4,78.67%,35,+0.38%,2,37.42%,11,+1.15%,1,59.64%,21,+2.04%,13
global_mmlu_full_fr_nutrition,21.90%,11,+7.84%,15,43.14%,24,+1.96%,2,51.63%,14,-0.98%,0,55.56%,21,+5.23%,7,57.52%,18,+2.61%,5,68.95%,25,+1.63%,4,75.49%,30,+2.29%,3,36.60%,12,+3.92%,2,53.59%,28,+1.63%,6
global_mmlu_full_fr_professional_accounting,21.28%,3,+7.09%,17,34.40%,25,0.00%,0,34.40%,14,+1.77%,1,43.62%,21,-0.71%,0,38.65%,24,+2.13%,8,37.94%,19,+6.38%,13,46.10%,15,+2.84%,12,28.01%,14,+3.19%,4,35.11%,25,+3.19%,6
global_mmlu_full_fr_professional_medicine,21.32%,5,+20.59%,4,30.88%,9,+10.29%,5,31.99%,13,+1.84%,3,53.68%,19,+2.57%,6,44.85%,18,+4.41%,3,66.54%,25,+0.37%,3,71.69%,35,+1.84%,8,29.78%,8,+1.10%,1,42.65%,28,+3.68%,4
global_mmlu_full_fr_virology,27.11%,2,+3.01%,8,45.18%,23,+0.60%,1,38.55%,12,+3.61%,4,43.37%,15,+2.41%,7,46.39%,5,0.00%,0,51.20%,29,+3.01%,6,50.60%,25,+1.81%,4,37.35%,14,+4.22%,3,43.37%,30,+0.60%,1
global_mmlu_full_fr_econometrics,27.19%,2,-1.75%,0,20.18%,12,+12.28%,18,21.05%,8,+9.65%,13,34.21%,23,+3.51%,8,34.21%,26,+3.51%,5,46.49%,34,+3.51%,4,54.39%,34,+1.75%,4,19.30%,5,+9.65%,14,26.32%,1,+4.39%,15
global_mmlu_full_fr_high_school_geography,25.76%,5,+8.59%,9,50.00%,22,0.00%,0,39.90%,14,-1.01%,0,61.62%,21,+3.03%,7,61.11%,18,+1.01%,5,75.76%,25,0.00%,0,78.28%,35,+2.53%,7,33.84%,15,+2.53%,3,52.02%,9,+5.56%,8
global_mmlu_full_fr_high_school_government_and_politics,25.39%,11,+10.36%,3,46.63%,23,+0.52%,2,36.79%,15,-0.52%,0,58.03%,24,+4.66%,7,47.67%,18,+3.11%,4,70.98%,27,0.00%,0,75.65%,21,+3.11%,10,35.23%,12,+5.18%,2,52.33%,15,+4.66%,4
global_mmlu_full_fr_high_school_macroeconomics,23.33%,11,+11.28%,4,38.72%,21,+0.51%,2,35.13%,13,+0.77%,2,45.38%,19,+0.77%,3,44.62%,18,+0.51%,2,60.51%,35,+1.79%,4,68.72%,34,+0.51%,2,34.36%,8,+1.03%,1,37.69%,23,+1.79%,8
global_mmlu_full_fr_high_school_microeconomics,23.53%,11,+11.34%,7,41.18%,21,+1.68%,2,40.34%,14,-0.42%,0,46.22%,24,+9.24%,6,47.90%,18,+5.04%,5,69.33%,25,+1.26%,3,78.57%,26,0.00%,0,40.34%,12,+0.84%,1,40.76%,28,+2.52%,6
global_mmlu_full_fr_high_school_psychology,25.32%,5,+4.95%,6,47.89%,22,+0.37%,1,45.14%,15,+0.18%,1,63.85%,19,+0.92%,5,61.10%,18,+1.28%,4,75.05%,26,+1.28%,7,83.12%,35,+0.92%,4,35.60%,11,+0.92%,3,57.25%,25,+1.47%,5
global_mmlu_full_fr_human_sexuality,20.61%,5,+8.40%,15,41.22%,17,+3.05%,6,45.80%,14,+1.53%,1,61.83%,17,+1.53%,2,53.44%,22,+2.29%,5,68.70%,29,+3.05%,4,72.52%,33,+3.05%,8,46.56%,11,+2.29%,1,52.67%,19,+3.82%,7
global_mmlu_full_fr_professional_psychology,26.14%,8,+1.63%,3,33.33%,20,+2.78%,3,36.76%,14,-0.65%,0,50.82%,22,+0.49%,1,46.57%,23,+0.16%,1,58.33%,30,+1.47%,4,65.52%,29,+1.14%,6,27.45%,13,+2.61%,6,43.95%,19,+0.82%,3
global_mmlu_full_fr_public_relations,31.82%,16,+1.82%,1,43.64%,15,+6.36%,4,41.82%,14,+1.82%,1,50.00%,19,+2.73%,6,53.64%,17,+0.91%,2,52.73%,7,+3.64%,6,57.27%,25,+6.36%,14,33.64%,4,+4.55%,5,48.18%,24,+3.64%,7
global_mmlu_full_fr_security_studies,22.45%,11,+15.51%,9,44.90%,15,+2.86%,8,51.43%,15,-1.22%,0,65.31%,19,+0.41%,1,56.73%,25,+1.63%,3,65.71%,22,+3.27%,10,73.06%,32,+1.63%,7,40.41%,12,+2.04%,3,61.22%,21,+2.04%,1
global_mmlu_full_fr_sociology,26.37%,13,+3.48%,3,52.74%,15,+1.00%,3,52.74%,14,0.00%,0,67.16%,21,+3.48%,6,67.16%,26,+2.49%,3,70.65%,19,+2.49%,7,78.11%,30,+1.99%,6,48.76%,14,0.00%,0,67.66%,25,+2.49%,2
global_mmlu_full_fr_us_foreign_policy,22.00%,3,+9.00%,14,49.00%,17,+4.00%,2,58.00%,15,-2.00%,0,70.00%,17,+2.00%,4,63.00%,26,+2.00%,1,73.00%,27,+2.00%,3,80.00%,27,+2.00%,5,42.00%,12,+2.00%,2,64.00%,31,+1.00%,1
global_mmlu_full_fr_abstract_algebra,27.00%,8,+7.00%,4,25.00%,10,+9.00%,10,23.00%,9,+11.00%,11,33.00%,23,+5.00%,10,36.00%,14,+6.00%,9,41.00%,28,+5.00%,6,52.00%,27,+3.00%,3,35.00%,6,+1.00%,1,35.00%,21,+3.00%,4
global_mmlu_full_fr_anatomy,25.19%,9,+8.15%,9,36.30%,20,+4.44%,2,40.74%,11,+1.48%,1,45.19%,18,+5.93%,8,48.89%,25,+1.48%,1,52.59%,25,+2.22%,6,59.26%,18,+5.19%,8,33.33%,12,+1.48%,2,40.00%,16,+5.19%,14
global_mmlu_full_fr_astronomy,23.03%,8,+10.53%,10,40.13%,18,+3.29%,3,41.45%,14,-0.66%,0,52.63%,23,+1.97%,4,59.21%,27,+0.66%,1,73.68%,35,+3.95%,5,82.89%,2,+1.97%,3,38.82%,15,-1.32%,0,46.05%,19,+1.97%,6
global_mmlu_full_fr_college_biology,20.83%,8,+6.94%,14,31.94%,24,+5.56%,5,34.72%,11,+0.69%,1,58.33%,23,+0.69%,1,54.17%,26,+0.69%,1,65.97%,26,+1.39%,3,77.08%,35,+3.47%,7,32.64%,11,+2.08%,2,45.14%,24,+3.47%,3
global_mmlu_full_fr_college_chemistry,21.00%,4,+11.00%,6,36.00%,22,+6.00%,4,28.00%,13,+7.00%,5,36.00%,8,+7.00%,11,43.00%,18,+1.00%,2,49.00%,25,+5.00%,10,56.00%,35,+5.00%,9,23.00%,8,+13.00%,8,36.00%,22,+10.00%,14
global_mmlu_full_fr_college_computer_science,21.00%,4,+11.00%,16,32.00%,20,+3.00%,5,29.00%,14,+5.00%,2,36.00%,8,+2.00%,5,41.00%,18,+11.00%,5,61.00%,29,+2.00%,5,60.00%,21,+7.00%,16,35.00%,15,0.00%,0,37.00%,16,+3.00%,3
global_mmlu_full_fr_college_mathematics,23.00%,1,+7.00%,5,28.00%,18,+8.00%,2,32.00%,15,+5.00%,1,26.00%,24,+12.00%,24,32.00%,18,+11.00%,11,46.00%,2,+2.00%,2,52.00%,3,+2.00%,8,35.00%,14,0.00%,0,36.00%,5,+3.00%,7
global_mmlu_full_fr_college_physics,16.67%,5,+16.67%,15,20.59%,22,+6.86%,14,24.51%,13,+5.88%,4,40.20%,21,+2.94%,2,31.37%,18,+6.86%,7,41.18%,4,+3.92%,11,55.88%,21,+4.90%,11,22.55%,8,+5.88%,6,25.49%,7,+3.92%,6
global_mmlu_full_fr_computer_security,29.00%,8,+2.00%,6,40.00%,15,+5.00%,5,41.00%,14,+12.00%,2,61.00%,18,+1.00%,1,57.00%,26,+4.00%,5,75.00%,27,+1.00%,2,74.00%,27,+2.00%,4,39.00%,12,+3.00%,1,50.00%,30,+4.00%,5
global_mmlu_full_fr_conceptual_physics,28.94%,15,+2.98%,3,32.34%,19,+0.43%,1,34.47%,13,+1.70%,3,45.11%,13,+2.98%,5,48.51%,26,+2.98%,6,65.53%,35,+2.98%,10,77.02%,25,+0.43%,1,31.49%,6,+5.11%,4,32.34%,18,+4.26%,16
global_mmlu_full_fr_electrical_engineering,33.10%,11,-2.76%,0,40.00%,18,+3.45%,5,35.86%,15,+2.76%,4,56.55%,16,+1.38%,2,52.41%,25,+2.76%,3,61.38%,28,+2.07%,7,63.45%,29,+2.76%,5,32.41%,14,+4.14%,4,46.90%,24,+4.83%,3
